,id,earning,prolific
0,55b9a9b0fdf99b6906d2aba4,3.0,"55b9a9b0fdf99b6906d2aba4,3.0"
2,5654f4b9d970d10011831e42,3.0,"5654f4b9d970d10011831e42,3.0"
3,565e0989998e4400054bdd7e,3.0,"565e0989998e4400054bdd7e,3.0"
4,566d5997d408ea00051a2a86,4.0,"566d5997d408ea00051a2a86,4.0"
5,56ce42d9465e580006846f57,3.0,"56ce42d9465e580006846f57,3.0"
6,56d0901c197fb1000b2348ee,4.0,"56d0901c197fb1000b2348ee,4.0"
7,570521cfde5095001018a0c8,4.0,"570521cfde5095001018a0c8,4.0"
9,5778f087ca706f000190edbb,6.0,"5778f087ca706f000190edbb,6.0"
10,57a85273fa44650001140cff,4.0,"57a85273fa44650001140cff,4.0"
11,57ade933b7a5690001ae184a,3.0,"57ade933b7a5690001ae184a,3.0"
13,57f8ddd1be670900012e57ee,4.0,"57f8ddd1be670900012e57ee,4.0"
14,585d02f7e9cb31000195e3dc,3.0,"585d02f7e9cb31000195e3dc,3.0"
16,5880f713ab00f60001923541,3.0,"5880f713ab00f60001923541,3.0"
17,58a477c660cd820001e9a5d6,2.0,"58a477c660cd820001e9a5d6,2.0"
19,58f3d7699fbdde00011e99f7,3.0,"58f3d7699fbdde00011e99f7,3.0"
21,590df20e12802600017e1006,3.0,"590df20e12802600017e1006,3.0"
24,593f123d6b824b0001a70456,3.0,"593f123d6b824b0001a70456,3.0"
25,594a4063f15f310001f8898c,3.0,"594a4063f15f310001f8898c,3.0"
27,5980c9688ab70c000158dbb9,3.0,"5980c9688ab70c000158dbb9,3.0"
28,59a7c4f0d4019800014cf4c4,3.0,"59a7c4f0d4019800014cf4c4,3.0"
29,59b859e711212f0001cd10ff,4.0,"59b859e711212f0001cd10ff,4.0"
30,59d68fb8e376fa00010aaa81,3.0,"59d68fb8e376fa00010aaa81,3.0"
33,5a341b9b9f2e74000137ec06,3.0,"5a341b9b9f2e74000137ec06,3.0"
34,5a381de00006450001bf2691,3.0,"5a381de00006450001bf2691,3.0"
35,5a6d67dbe70ca900017adb9c,4.0,"5a6d67dbe70ca900017adb9c,4.0"
38,5a993b151eda410001365a23,4.0,"5a993b151eda410001365a23,4.0"
42,5b15821c1e55760001ba20d0,3.0,"5b15821c1e55760001ba20d0,3.0"
44,5b5cab744e945800017d9daf,4.0,"5b5cab744e945800017d9daf,4.0"
45,5b61a193adb684000126749f,3.0,"5b61a193adb684000126749f,3.0"
48,5bda1da4d6fef5000181aab2,3.0,"5bda1da4d6fef5000181aab2,3.0"
51,5be6591a1781990001f7dfe1,4.0,"5be6591a1781990001f7dfe1,4.0"
55,5c070a6576781b0001c82633,3.0,"5c070a6576781b0001c82633,3.0"
56,5c18d82de4cea80001619773,4.0,"5c18d82de4cea80001619773,4.0"
57,5c1a1a8e792f4400015d5b86,3.0,"5c1a1a8e792f4400015d5b86,3.0"
60,5c27c724867f660001ae6785,3.0,"5c27c724867f660001ae6785,3.0"
61,5c28cac3867f660001ae9c4a,3.0,"5c28cac3867f660001ae9c4a,3.0"
62,5c2eb9c30091e40001cba678,3.0,"5c2eb9c30091e40001cba678,3.0"
63,5c34fc0848ad2900017e4e9f,3.0,"5c34fc0848ad2900017e4e9f,3.0"
64,5c35655f87b777000170d85a,4.0,"5c35655f87b777000170d85a,4.0"
65,5c37aa8b832a8400010983b3,3.0,"5c37aa8b832a8400010983b3,3.0"
66,5c3ac7504b1ed90001baad3a,4.0,"5c3ac7504b1ed90001baad3a,4.0"
68,5c3e012952f38e0001331e40,3.0,"5c3e012952f38e0001331e40,3.0"
70,5c4737793a307700017fc5e8,2.0,"5c4737793a307700017fc5e8,2.0"
71,5c48d9b3cd853b0001287890,4.0,"5c48d9b3cd853b0001287890,4.0"
73,5c52f97154f9d30001db082d,3.0,"5c52f97154f9d30001db082d,3.0"
74,5c541bd1179da1000166dde7,3.0,"5c541bd1179da1000166dde7,3.0"
75,5c572653798cde00015f267f,4.0,"5c572653798cde00015f267f,4.0"
76,5c5a093738e69b0001dd9343,2.0,"5c5a093738e69b0001dd9343,2.0"
77,5c5d2cc78da44c00015c6d68,3.0,"5c5d2cc78da44c00015c6d68,3.0"
78,5c5dd242c9735b00010cf9db,3.0,"5c5dd242c9735b00010cf9db,3.0"
79,5c7070519f9392000150023c,3.0,"5c7070519f9392000150023c,3.0"
80,5c7d56f22819ab0001b96439,3.0,"5c7d56f22819ab0001b96439,3.0"
81,5c7f007e78573c00019056b8,4.0,"5c7f007e78573c00019056b8,4.0"
83,5c840d70969e2600152b2b5e,3.0,"5c840d70969e2600152b2b5e,3.0"
84,5c85010127f8cb0016c93b02,3.0,"5c85010127f8cb0016c93b02,3.0"
85,5c86475b27f8cb0017c94a92,4.0,"5c86475b27f8cb0017c94a92,4.0"
89,5c8812709cef4f0016a18318,3.0,"5c8812709cef4f0016a18318,3.0"
90,5c8974ef34daa70015e92daf,4.0,"5c8974ef34daa70015e92daf,4.0"
91,5c8af558d551550019d44308,3.0,"5c8af558d551550019d44308,3.0"
92,5c8cf105dfa22f00129081a0,3.0,"5c8cf105dfa22f00129081a0,3.0"
97,5ca634103697d60014addf56,4.0,"5ca634103697d60014addf56,4.0"
98,5ca80fe7d8006f00176eef4d,4.0,"5ca80fe7d8006f00176eef4d,4.0"
99,5caa2772bdc48f0018f91d87,3.0,"5caa2772bdc48f0018f91d87,3.0"
